order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,194,Neo,287,Pressure Cooker,Home & Kitchen,Card,12,6625,2021-08-24 14:04:58,India,Bengaluru,www.flipkart.com,77753,Y,
2,114,,207,Poetry,Books,Wallet,4,8098,2021-02-22 00:47:34,Germany,Hamburg,www.ebay.in,84840,Y,
3,161,John Smith,228,Young Adult,Books,Card,21,1113,2021-02-04 13:14:39,Germany,Hamburg,www.flipkart.com,63157,N,Timeout
4,181,Neo,249,Young Adult,Books,UPI,48,4171,2022-12-04 23:14:49,Australia,Melbourne,www.flipkart.com,50970,N,Invalid CVV
5,170,John Smith,298,Glue Stick,Stationery,Internet Banking,17,1801,2023-11-11 18:13:47,Germany,Munich,www.flipkart.com,18633,Y,
6,177,John Smith,231,Spatulas,Home & Kitchen,Wallet,22,3547,2023-01-01 14:23:26,UK,Manchester,www.amazon.com,80481,N,Insufficient Funds
7,162,Joe Smith,209,Portable Charger,Electronics,UPI,2,8150,2023-11-18 01:30:29,UK,Oxford,www.flipkart.com,18597,N,Invalid CVV
8,111,Trinity,295,Bluetooth Speaker,Electronics,UPI,14,7185,2023-09-20 18:52:34,Germany,Munich,www.tatacliq.com,87436,Y,
9,185,John Smith,268,Notebook,Stationery,Card,11,6121,2021-07-07 13:57:11,India,Indore,www.flipkart.com,48360,Y,
10,193,Neo,236,Sticky Notes,Stationery,Internet Banking,11,9253,2021-06-12 20:33:29,USA,New York,www.tatacliq.com,93283,Y,
11,177,Mary Jane,221,Historical Fiction,Books,UPI,42,2537,2022-01-05 23:43:10,Australia,Brisbane,www.amazon.com,39442,Y,
12,166,John Smith,291,Chopping Board,Home & Kitchen,Wallet,29,188,2022-04-02 23:58:22,India,Mumbai,www.flipkart.com,74701,Y,
13,181,Trinity,268,Fitness Tracker,Electronics,Wallet,28,6811,2021-12-30 04:30:45,USA,Chicago,www.tatacliq.com,25200,Y,
14,123,Joe Smith,258,Self-Help,Books,Wallet,2,9924,2022-11-20 01:40:17,Australia,Brisbane,www.tatacliq.com,29760,N,Invalid CVV
15,183,John Smith,223,Pens,Stationery,Wallet,-1,64,2022-09-28 08:29:59,USA,Chicago,www.flipkart.com,90262,N,Invalid CVV
16,194,Joe Smith,238,Glue Stick,Stationery,UPI,16,2338,2021-07-22 14:12:33,India,Indore,www.tatacliq.com,56909,Y,
17,195,Neo,252,Tape,Stationery,Wallet,42,5384,2023-03-08 00:01:43,Germany,Hamburg,www.tatacliq.com,55611,Y,
18,170,Mary Jane,222,T-Shirts,Clothing,UPI,44,1797,2023-05-13 15:52:50,Germany,Berlin,www.amazon.com,72924,N,Timeout
19,180,Mary Jane,282,Food Storage Containers,Home & Kitchen,Card,19,3543,2022-05-13 17:07:30,UK,Manchester,www.ebay.in,55118,Y,
20,197,Neo,204,Nightwear,Clothing,Invalid,33,4745,2023-03-02 15:46:03,Australia,Sydney,www.ebay.in,48202,N,Invalid CVV
21,116,Mary Jane,234,Mystery,Books,Card,47,3732,2023-09-20 12:24:18,USA,New York,www.flipkart.com,61147,Y,
22,174,Neo,202,Fantasy,Books,Card,10,6345,2022-03-06 08:25:05,Germany,Munich,www.ebay.in,92630,N,Invalid CVV
23,113,Mary Jane,277,Dish Rack,Home & Kitchen,Card,33,3755,2021-04-24 03:40:03,Australia,Melbourne,www.tatacliq.com,31701,N,Timeout
24,192,Joe Smith,219,Poetry,Books,UPI,17,1286,2021-09-16 04:26:20,Germany,Berlin,www.flipkart.com,98679,Y,
25,106,Trinity,228,Bluetooth Speaker,Electronics,Invalid,48,3017,2023-02-04 11:11:21,Australia,Melbourne,www.ebay.in,10735,N,Timeout
26,130,John Smith,253,Jackets,Clothing,UPI,39,8225,2023-05-21 15:44:00,India,Mumbai,www.flipkart.com,11516,Y,
27,108,Mary Jane,260,Letter Opener,Stationery,Card,22,4629,2022-04-13 04:14:31,UK,Manchester,www.ebay.in,92173,N,Invalid CVV
28,138,Mary Jane,293,External Hard Drive,Electronics,Wallet,23,1470,2022-11-22 22:21:29,USA,New York,www.flipkart.com,36721,Y,
29,190,Trinity,214,Chopping Board,Home & Kitchen,UPI,10,1735,2022-04-05 22:55:34,Germany,Berlin,www.amazon.com,75775,Y,
30,199,John Smith,242,Toaster,Home & Kitchen,UPI,15,3818,2022-04-04 17:19:24,UK,London,www.flipkart.com,90098,N,Insufficient Funds
31,111,Trinity,255,Fantasy,Books,UPI,11,5548,2023-05-21 16:50:44,UK,London,www.ebay.in,16454,Y,
32,122,Trinity,249,Children's Books,Books,UPI,13,1222,2021-12-07 02:58:53,Germany,Hamburg,www.tatacliq.com,29219,N,Timeout
33,193,Mary Jane,262,USB Flash Drive,Electronics,Internet Banking,32,3860,2022-08-31 20:09:33,India,Bengaluru,www.flipkart.com,98739,N,Timeout
